                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22283,                 3.9135,                0.87837,                0.79865,                 0.1285,                0.22615,                0.22049,                0.18373,                 3.5423,                  0.805,             8.6744e-05,             8.6744e-05,             8.6744e-05
                      2,                0.21405,                 2.7988,                 0.8631,                0.66343,                0.37806,                0.46123,                0.45288,                0.20568,                 2.1968,                0.84823,             0.00015714,             0.00015714,             0.00015714
                      3,                 0.2095,                 1.9858,                0.85904,                0.46298,                 0.6837,                0.61982,                0.60836,                0.23925,                 1.7326,                0.86697,             0.00021019,             0.00021019,             0.00021019
                      4,                0.20544,                 1.5671,                0.86151,                0.63445,                0.80541,                0.79981,                0.78824,                0.20285,                 1.3188,                0.84951,             0.00018489,             0.00018489,             0.00018489
                      5,                0.19272,                 1.2844,                0.85988,                0.70682,                 0.8728,                0.91205,                0.89767,                0.19231,                 1.1839,                0.84066,             0.00015885,             0.00015885,             0.00015885
                      6,                0.17734,                   1.08,                0.84549,                0.85862,                0.95213,                0.96084,                 0.9514,                0.17179,                0.93227,                 0.8271,             0.00013281,             0.00013281,             0.00013281
                      7,                0.16663,                0.95681,                0.84735,                0.92932,                0.94385,                0.97937,                0.97417,                 0.1454,                0.87915,                0.81582,             0.00010678,             0.00010678,             0.00010678
                      8,                0.15264,                0.85839,                0.84305,                0.95513,                0.96448,                0.99149,                0.98929,                 0.1376,                0.75159,                0.81232,             8.0741e-05,             8.0741e-05,             8.0741e-05
                      9,                0.14174,                0.78409,                0.83762,                0.96124,                0.97095,                0.99348,                0.99153,                0.12802,                0.71492,                 0.8086,             5.4704e-05,             5.4704e-05,             5.4704e-05
                     10,                0.13592,                0.74599,                0.83177,                0.95571,                0.99238,                0.99486,                0.99224,                 0.1217,                0.68723,                 0.8067,             2.8667e-05,             2.8667e-05,             2.8667e-05
